country,pop,areakm2,gdpnom,receipt,ovnarriv,pop_density,GDP_per_capita,countrynames
1,1243592,2040,7825666667,1271833333,798000,610,6293,Mauritius
2,85000,451,875230769,306833333,146000,188,10297,Seychelles
3,834833,440,1043769231,308083333,238083,1897,1250,Antigua & Barbuda
4,103017,344,685076923,95083333,123333,299,6650,Grenada
5,875975,765,16076000000,1533916667,6767500,1145,18352,Bahrain
6,270758,431,3878538462,966909091,542167,628,14325,Barbados
7,63558,53,4875181818,428166667,272167,1199,76704,Bermuda
8,476554,4033,1193307692,247250000,227083,118,2504,Cape Verde
9,654342,2235,418846154,22600000,20200,293,640,Comoros
10,68692,750,404307692,68166667,75917,92,5886,Dominica
11,92625,811,112000000,2985714,4467,114,1209,Kiribati
12,297033,298,1269838462,965750000,610750,997,4275,Maldives
13,403942,316,6597076923,1022916667,1214417,1278,16332,Malta
14,52675,181,172000000,4100000,6250,291,3265,Marshall Islands
15,109358,3185,310333333,19090909,19667,34,2838,Fed Micronesia
16,180400,2831,447692308,84000000,105583,64,2482,Samoa
17,154158,1001,149615385,8341667,11091,154,971,Sao Tome & Principe
18,49175,261,593615385,92416667,103455,188,12071,St Kitts and Nevis
19,165642,617,990230769,296916667,287333,268,5978,St Lucia
21,108758,389,584461538,94666667,81333,280,5374,St Vincent & Grenadines
22,101275,139,301923077,12530000,41917,729,2981,Tonga
25,4560038,710,1.60124E+11,8202166667,7206000,6423,35115,Singapore
26,1318612,5131,17196769231,509545455,420273,257,13042,Trinidad and Tobago
27,478017,28400,534230769,23110909,12960,17,1118,Solomon Islands
